# rank	test_index	similarity
1271	391	0.000590
1272	1675	0.000101
1273	1263	0.000069
1274	2015	-0.000090
1275	1228	-0.000117
1276	2480	-0.000204
1277	1076	-0.000341
1278	1635	-0.000353
1279	523	-0.000399
1280	1018	-0.000654
1281	1578	-0.000665
1282	1027	-0.000771
1283	2283	-0.000832
1284	2084	-0.000864
1285	1278	-0.000952
1286	338	-0.001013
1287	894	-0.001036
1288	1211	-0.001285
1289	1258	-0.001309
1290	2471	-0.001329
1291	2396	-0.001377
1292	2290	-0.001394
1293	440	-0.001467
1294	1444	-0.001486
1295	1862	-0.001497
1296	1867	-0.001520
1297	42	-0.001565
1298	590	-0.001654
1299	2062	-0.001733
1300	138	-0.001847
1301	1467	-0.001928
1302	815	-0.001953
1303	1617	-0.002047
1304	2268	-0.002086
1305	230	-0.002123
1306	1277	-0.002166
1307	831	-0.002202
1308	496	-0.002486
1309	959	-0.002509
1310	622	-0.002622
1311	1611	-0.002763
1312	2030	-0.002901
1313	971	-0.003132
1314	1200	-0.003143
1315	1274	-0.003153
1316	2231	-0.003269
1317	1684	-0.003469
1318	318	-0.003493
1319	115	-0.003538
1320	731	-0.003648
1321	1168	-0.003739
1322	1667	-0.003744
1323	2345	-0.003779
1324	805	-0.003789
1325	2303	-0.003808
1326	355	-0.003848
1327	1892	-0.003898
1328	137	-0.004065
1329	2324	-0.004067
1330	1128	-0.004084
1331	1219	-0.004132
1332	1236	-0.004485
1333	2494	-0.004552
1334	1213	-0.004714
1335	2065	-0.004852
1336	1783	-0.005045
1337	2186	-0.005051
1338	2478	-0.005069
1339	309	-0.005268
1340	3	-0.005337
1341	489	-0.005343
1342	659	-0.005778
1343	1976	-0.005788
1344	2397	-0.005904
1345	1842	-0.005985
1346	2209	-0.006214
1347	1441	-0.006236
1348	1408	-0.006257
1349	744	-0.006338
1350	187	-0.006387
1351	144	-0.006436
1352	882	-0.006438
1353	2087	-0.006534
1354	462	-0.006623
1355	388	-0.006815
1356	413	-0.006816
1357	2103	-0.007002
1358	808	-0.007020
1359	1966	-0.007040
1360	2410	-0.007226
1361	313	-0.007303
1362	2154	-0.007401
1363	1195	-0.007490
1364	557	-0.007677
1365	2088	-0.007845
1366	2346	-0.007892
1367	8	-0.007906
1368	2061	-0.007928
1369	1375	-0.007942
1370	1660	-0.007949
1371	574	-0.008093
1372	580	-0.008303
1373	359	-0.008739
1374	786	-0.008746
1375	2184	-0.008759
1376	1860	-0.008786
1377	1572	-0.008922
1378	1927	-0.008953
1379	2232	-0.009142
1380	1057	-0.009183
1381	1923	-0.009457
1382	397	-0.009757
1383	2354	-0.009903
1384	2173	-0.010057
1385	2453	-0.010360
1386	1056	-0.010410
1387	1024	-0.010421
1388	540	-0.010658
1389	1367	-0.011017
1390	984	-0.011086
1391	1917	-0.011327
1392	1749	-0.011577
1393	2044	-0.011695
1394	801	-0.011704
1395	401	-0.011784
1396	1865	-0.011804
1397	375	-0.011829
